Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2019,2020,2021
I. Penerimaan Dalam Negeri,1955136.2,1628950.53,2006334
1. Penerimaan Perpajakan,1546141.9,1285136.32,1547841.1
a. Pajak Dalam Negeri,1505088.2,1248415.11,1474145.7
(1) Pajak Penghasilan,772265.7,594033.33,696676.6
i. Migas,-,-,-
ii. Non Migas,-,-,-
(2) Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,531577.3,450328.06,551900.5
(3) Pajak Bumi dan Bangunan,21145.9,20953.61,18924.8
(4) Bea Perolehan Hak atas Tanah dan Bangunan,-,-,-
(5) Cukai,172421.9,176309.31,195517.8
(6) Pajak Lainnya,7677.3,6790.79,11126
b. Pajak Perdagangan Internasional,41053.7,36721.21,73695.4
(1) Bea Masuk,37527,32443.5,39122.7
(2) Pajak Ekspor,3526.7,4277.71,34572.7
2. Penerimaan Bukan Pajak,408994.3,343814.21,458493
a. Penerimaan Sumber Daya Alam,154895.3,97225.07,149489.4
b. Pendapatan dari Kekayaan Negara yang Dipisahkan,80726.1,66080.54,30496.8
c. Penerimaan Bukan Pajak Lainnya,124503.6,111200.27,152504
d. Pendapatan Badan Layanan Umum,48869.3,69308.33,126002.8
II. Hibah,5497.3,18832.82,5013
Jumlah,1960633.6,1647783.34,2011347.1
