Date,Price,Open,High,Low,Vol.,Change %
2/20/2018,"13,612.50","13,562.50","13,615.50","13,562.50",,0.38%
2/21/2018,"13,618.50","13,575.50","13,618.50","13,570.50",,0.04%
2/22/2018,"13,682.50","13,652.50","13,690.50","13,652.50",,0.47%
2/23/2018,"13,667.50","13,667.50","13,684.50","13,662.50",,-0.11%
2/26/2018,"13,660.00","13,660.00","13,665.00","13,645.00",,-0.05%
2/27/2018,"13,675.00","13,652.00","13,685.00","13,650.00",,0.11%
2/28/2018,"13,745.00","13,705.00","13,755.00","13,705.00",,0.51%
3/1/2018,"13,747.50","13,782.50","13,802.50","13,742.50",,0.02%
3/2/2018,"13,757.50","13,722.50","13,762.50","13,722.50",,0.07%
3/5/2018,"13,762.50","13,737.50","13,775.50","13,737.50",,0.04%
3/6/2018,"13,775.00","13,750.00","13,785.00","13,745.00",,0.09%
3/7/2018,"13,766.00","13,754.00","13,776.00","13,754.00",,-0.07%
3/8/2018,"13,785.00","13,760.00","13,785.00","13,760.00",,0.14%
3/9/2018,"13,781.00","13,794.00","13,799.00","13,774.00",,-0.03%
3/12/2018,"13,770.00","13,770.00","13,780.00","13,770.00",,-0.08%
3/13/2018,"13,750.50","13,764.50","13,764.50","13,749.50",,-0.14%
3/14/2018,"13,736.50","13,741.50","13,742.50","13,726.50",,-0.10%
3/15/2018,"13,747.50","13,737.50","13,752.50","13,737.50",,0.08%
3/16/2018,"13,749.00","13,764.00","13,770.00","13,744.00",,0.01%
3/19/2018,"13,764.50","13,765.50","13,765.50","13,755.50",,0.11%
3/20/2018,"13,750.00","13,766.00","13,768.00","13,750.00",,-0.11%
3/21/2018,"13,762.50","13,757.50","13,766.50","13,752.50",,0.09%
3/22/2018,"13,752.50","13,727.50","13,753.50","13,727.50",,-0.07%
3/23/2018,"13,782.50","13,762.50","13,796.50","13,762.50",,0.22%
3/26/2018,"13,740.00","13,780.00","13,785.00","13,740.00",,-0.31%
3/27/2018,"13,742.00","13,717.00","13,747.00","13,697.00",,0.01%
3/28/2018,"13,763.00","13,748.00","13,768.00","13,733.00",,0.15%
3/29/2018,"13,765.00","13,767.00","13,775.00","13,749.00",,0.01%
3/30/2018,"13,765.00","13,765.00","13,765.00","13,765.00",,0.00%
4/2/2018,"13,754.00","13,741.00","13,761.00","13,741.00",,-0.08%
4/3/2018,"13,764.50","13,761.50","13,767.50","13,751.50",,0.08%
4/4/2018,"13,766.50","13,763.50","13,768.50","13,753.50",,0.01%
4/5/2018,"13,766.50","13,762.50","13,772.50","13,762.50",,0.00%
4/6/2018,"13,773.50","13,773.50","13,783.50","13,773.50",,0.05%
4/9/2018,"13,764.50","13,764.50","13,775.50","13,759.50",,-0.07%
4/10/2018,"13,749.00","13,761.00","13,762.00","13,736.00",,-0.11%
4/11/2018,"13,758.50","13,744.50","13,761.50","13,741.50",,0.07%
4/12/2018,"13,769.50","13,755.50","13,770.50","13,750.50",,0.08%
4/13/2018,"13,752.50","13,742.50","13,760.50","13,740.50",,-0.12%
4/16/2018,"13,774.50","13,752.50","13,779.50","13,752.50",,0.16%
4/17/2018,"13,766.00","13,761.00","13,773.00","13,751.00",,-0.06%
4/18/2018,"13,774.50","13,766.50","13,776.50","13,766.50",,0.06%
4/19/2018,"13,781.00","13,771.00","13,785.00","13,769.00",,0.05%
4/20/2018,"13,877.50","13,792.50","13,877.50","13,787.50",,0.70%
4/23/2018,"13,895.00","13,900.00","13,900.00","13,894.00",,0.13%
4/24/2018,"13,887.50","13,897.50","13,901.50","13,882.50",,-0.05%
4/25/2018,"13,920.00","13,877.00","13,925.00","13,875.00",,0.23%
4/26/2018,"13,887.50","13,912.50","13,932.50","13,881.50",,-0.23%
4/27/2018,"13,890.00","13,875.00","13,901.00","13,874.00",,0.02%
4/30/2018,"13,912.50","13,862.50","13,912.50","13,862.50",,0.16%
5/1/2018,"13,912.50","13,912.50","13,912.50","13,912.50",,0.00%
5/2/2018,"13,945.00","13,920.00","13,965.00","13,920.00",,0.23%
5/3/2018,"13,937.50","13,952.50","13,975.50","13,936.50",,-0.05%
5/4/2018,"13,940.00","13,930.00","13,952.00","13,930.00",,0.02%
5/7/2018,"14,000.00","13,940.00","14,005.00","13,940.00",,0.43%
5/8/2018,"14,050.00","14,000.00","14,055.00","14,000.00",,0.36%
5/9/2018,"14,080.00","14,060.00","14,090.00","14,060.00",,0.21%
5/10/2018,"14,080.00","14,080.00","14,080.00","14,080.00",,0.00%
5/11/2018,"13,950.00","14,075.00","14,075.00","13,950.00",,-0.92%
5/14/2018,"13,970.00","13,955.00","13,990.00","13,945.00",,0.14%
5/15/2018,"14,037.00","13,984.00","14,040.00","13,984.00",,0.48%
5/16/2018,"14,093.00","14,070.00","14,115.00","14,070.00",,0.40%
5/17/2018,"14,052.00","14,065.00","14,082.00","14,045.00",,-0.29%
5/18/2018,"14,152.50","14,042.50","14,157.50","14,042.50",,0.72%
5/21/2018,"14,185.00","14,155.00","14,205.00","14,155.00",,0.23%
5/22/2018,"14,138.00","14,155.00","14,192.00","14,125.00",,-0.33%
5/23/2018,"14,207.00","14,155.00","14,215.00","14,155.00",,0.49%
5/24/2018,"14,135.00","14,180.00","14,215.00","14,130.00",,-0.51%
5/25/2018,"14,120.00","14,145.00","14,175.00","14,120.00",,-0.11%
5/28/2018,"13,990.00","14,085.00","14,085.00","13,975.00",,-0.92%
5/29/2018,"13,990.00","13,990.00","13,990.00","13,990.00",,0.00%
5/30/2018,"13,990.00","14,025.00","14,045.00","13,970.00",,0.00%
5/31/2018,"13,895.00","13,945.00","13,961.00","13,875.00",,-0.68%
6/1/2018,"13,895.00","13,895.00","13,895.00","13,895.00",,0.00%
6/4/2018,"13,872.00","13,855.00","13,901.00","13,850.00",,-0.17%
6/5/2018,"13,879.00","13,865.00","13,900.00","13,865.00",,0.05%
6/6/2018,"13,852.50","13,882.50","13,885.50","13,832.50",,-0.19%
6/7/2018,"13,870.00","13,860.00","13,887.00","13,850.00",,0.13%
6/8/2018,"13,930.00","13,906.00","13,947.00","13,895.00",,0.43%
6/11/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/12/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/13/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/14/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/15/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/18/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/19/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/20/2018,"13,930.00","13,930.00","13,930.00","13,930.00",,0.00%
6/21/2018,"14,103.00","13,975.00","14,111.00","13,975.00",,1.24%
6/22/2018,"14,080.00","14,095.00","14,110.00","14,058.00",,-0.16%
6/25/2018,"14,155.00","14,103.00","14,165.00","14,103.00",,0.53%
6/26/2018,"14,178.00","14,130.00","14,185.00","14,130.00",,0.16%
6/27/2018,"14,178.00","14,178.00","14,178.00","14,178.00",,0.00%
6/28/2018,"14,390.00","14,220.00","14,400.00","14,195.00",,1.50%
6/29/2018,"14,330.00","14,365.00","14,415.00","14,305.00",,-0.42%
7/2/2018,"14,380.00","14,255.00","14,410.00","14,255.00",,0.35%
7/3/2018,"14,380.00","14,370.00","14,460.00","14,370.00",,0.00%
7/4/2018,"14,352.00","14,330.00","14,370.00","14,310.00",,-0.19%
7/5/2018,"14,385.00","14,365.00","14,425.00","14,365.00",,0.23%
7/6/2018,"14,370.00","14,375.00","14,422.00","14,358.00",,-0.10%
7/9/2018,"14,325.00","14,330.00","14,345.00","14,320.00",,-0.31%
7/10/2018,"14,360.00","14,305.00","14,375.00","14,305.00",,0.24%
7/11/2018,"14,385.00","14,375.00","14,395.00","14,375.00",,0.17%
7/12/2018,"14,380.00","14,405.00","14,445.00","14,380.00",,-0.03%
7/13/2018,"14,380.00","14,340.00","14,386.00","14,340.00",,0.00%
7/16/2018,"14,375.00","14,390.00","14,420.00","14,375.00",,-0.03%
7/17/2018,"14,370.00","14,385.00","14,400.00","14,362.00",,-0.03%
7/18/2018,"14,405.00","14,390.00","14,422.00","14,390.00",,0.24%
7/19/2018,"14,475.00","14,405.00","14,480.00","14,405.00",,0.49%
7/20/2018,"14,480.00","14,485.00","14,545.00","14,475.00",,0.03%
7/23/2018,"14,490.00","14,430.00","14,498.00","14,425.00",,0.07%
7/24/2018,"14,530.00","14,510.00","14,565.00","14,510.00",,0.28%
7/25/2018,"14,460.00","14,500.00","14,530.00","14,460.00",,-0.48%
7/26/2018,"14,460.00","14,425.00","14,475.00","14,415.00",,0.00%
7/27/2018,"14,417.50","14,457.50","14,492.50","14,372.50",,-0.29%
7/30/2018,"14,410.00","14,385.00","14,420.00","14,385.00",,-0.05%
7/31/2018,"14,420.00","14,405.00","14,427.00","14,402.00",,0.07%
8/1/2018,"14,440.00","14,430.00","14,455.00","14,430.00",,0.14%
8/2/2018,"14,475.00","14,440.00","14,480.00","14,440.00",,0.24%
8/3/2018,"14,492.50","14,487.50","14,517.50","14,487.50",,0.12%
8/6/2018,"14,470.00","14,495.00","14,495.00","14,465.00",,-0.16%
8/7/2018,"14,440.00","14,486.00","14,493.00","14,434.00",,-0.21%
8/8/2018,"14,435.00","14,438.00","14,450.00","14,430.00",,-0.03%
8/9/2018,"14,410.00","14,430.00","14,440.00","14,395.00",,-0.17%
8/10/2018,"14,475.00","14,425.00","14,482.00","14,425.00",,0.45%
8/13/2018,"14,595.00","14,495.00","14,630.00","14,495.00",,0.83%
8/14/2018,"14,580.00","14,602.00","14,635.00","14,575.00",,-0.10%
8/15/2018,"14,600.00","14,600.00","14,651.00","14,570.00",,0.14%
8/16/2018,"14,610.00","14,635.00","14,635.00","14,580.00",,0.07%
8/17/2018,"14,610.00","14,610.00","14,610.00","14,610.00",,0.00%
8/20/2018,"14,590.00","14,560.00","14,595.00","14,555.00",,-0.14%
8/21/2018,"14,580.00","14,550.00","14,590.00","14,550.00",,-0.07%
8/22/2018,"14,580.00","14,580.00","14,580.00","14,580.00",,0.00%
8/23/2018,"14,630.00","14,600.00","14,642.00","14,600.00",,0.34%
8/24/2018,"14,642.00","14,650.00","14,665.00","14,640.00",,0.08%
8/27/2018,"14,620.00","14,605.00","14,630.00","14,585.00",,-0.15%
8/28/2018,"14,622.00","14,585.00","14,630.00","14,585.00",,0.01%
8/29/2018,"14,655.00","14,625.00","14,658.00","14,625.00",,0.23%
8/30/2018,"14,690.00","14,655.00","14,690.00","14,650.00",,0.24%
8/31/2018,"14,730.00","14,715.00","14,735.00","14,715.00",,0.27%
9/3/2018,"14,815.00","14,740.00","14,830.00","14,740.00",,0.58%
9/4/2018,"14,935.00","14,820.00","14,945.00","14,820.00",,0.81%
9/5/2018,"14,935.00","14,930.00","14,945.00","14,929.00",,0.00%
9/6/2018,"14,890.00","14,905.00","14,910.00","14,854.00",,-0.30%
9/7/2018,"14,820.00","14,870.00","14,904.00","14,820.00",,-0.47%
9/10/2018,"14,857.00","14,825.00","14,880.00","14,820.00",,0.25%
9/11/2018,"14,857.00","14,857.00","14,857.00","14,857.00",,0.00%
9/12/2018,"14,825.00","14,825.00","14,890.00","14,825.00",,-0.22%
9/13/2018,"14,840.00","14,805.00","14,847.00","14,775.00",,0.10%
9/14/2018,"14,805.00","14,785.00","14,845.00","14,775.00",,-0.24%
9/17/2018,"14,877.50","14,837.50","14,917.50","14,837.50",,0.49%
9/18/2018,"14,855.00","14,890.00","14,935.00","14,855.00",,-0.15%
9/19/2018,"14,875.00","14,855.00","14,910.00","14,855.00",,0.13%
9/20/2018,"14,845.00","14,825.00","14,856.00","14,815.00",,-0.20%
9/21/2018,"14,819.00","14,813.00","14,838.00","14,793.00",,-0.18%
9/24/2018,"14,867.50","14,832.50","14,885.50","14,832.50",,0.33%
9/25/2018,"14,920.00","14,870.00","14,920.00","14,870.00",,0.35%
9/26/2018,"14,905.00","14,930.00","14,945.00","14,905.00",,-0.10%
9/27/2018,"14,917.00","14,915.00","14,930.00","14,885.00",,0.08%
9/28/2018,"14,901.50","14,931.50","14,936.50","14,886.50",,-0.10%
10/1/2018,"14,910.00","14,885.00","14,915.00","14,885.00",,0.06%
10/2/2018,"15,045.00","14,915.00","15,053.00","14,915.00",,0.91%
10/3/2018,"15,075.00","15,050.00","15,095.00","15,050.00",,0.20%
10/4/2018,"15,170.00","15,100.00","15,195.00","15,100.00",,0.63%
10/5/2018,"15,180.00","15,183.00","15,193.00","15,160.00",,0.07%
10/8/2018,"15,217.50","15,186.50","15,260.50","15,186.50",,0.25%
10/9/2018,"15,230.00","15,210.00","15,258.00","15,210.00",,0.08%
10/10/2018,"15,203.00","15,185.00","15,230.00","15,180.00",,-0.18%
10/11/2018,"15,235.00","15,215.00","15,270.00","15,215.00",,0.21%
10/12/2018,"15,205.00","15,205.00","15,205.00","15,180.00",,-0.20%
10/15/2018,"15,210.00","15,210.00","15,260.00","15,190.00",,0.03%
10/16/2018,"15,200.00","15,185.00","15,230.00","15,175.00",,-0.07%
10/17/2018,"15,155.00","15,155.00","15,195.00","15,145.00",,-0.30%
10/18/2018,"15,193.50","15,161.50","15,196.50","15,161.50",,0.25%
10/19/2018,"15,187.50","15,197.50","15,222.50","15,177.50",,-0.04%
10/22/2018,"15,185.00","15,185.00","15,200.00","15,180.00",,-0.02%
10/23/2018,"15,190.00","15,190.00","15,217.00","15,190.00",,0.03%
10/24/2018,"15,197.00","15,182.00","15,199.00","15,177.00",,0.05%
10/25/2018,"15,187.50","15,202.50","15,212.50","15,182.50",,-0.06%
10/26/2018,"15,216.50","15,186.50","15,216.50","15,185.50",,0.19%
10/29/2018,"15,220.00","15,205.00","15,230.00","15,205.00",,0.02%
10/30/2018,"15,223.00","15,221.00","15,241.00","15,216.00",,0.02%
10/31/2018,"15,202.50","15,217.50","15,233.50","15,197.50",,-0.13%
11/1/2018,"15,127.50","15,182.50","15,200.50","15,116.50",,-0.49%
11/2/2018,"14,952.50","15,087.50","15,097.50","14,942.50",,-1.16%
11/5/2018,"14,976.00","14,951.00","14,988.00","14,951.00",,0.16%
11/6/2018,"14,802.50","14,952.50","14,952.50","14,782.50",,-1.16%
11/7/2018,"14,580.00","14,775.00","14,805.00","14,580.00",,-1.50%
11/8/2018,"14,540.00","14,601.00","14,670.00","14,455.00",,-0.27%
11/9/2018,"14,685.00","14,605.00","14,695.00","14,605.00",,1.00%
11/12/2018,"14,815.00","14,705.00","14,835.00","14,705.00",,0.89%
11/13/2018,"14,810.00","14,840.00","14,935.00","14,755.00",,-0.03%
11/14/2018,"14,787.00","14,802.00","14,802.00","14,732.00",,-0.16%
11/15/2018,"14,677.50","14,742.50","14,777.50","14,632.50",,-0.74%
11/16/2018,"14,611.50","14,603.50","14,613.50","14,533.50",,-0.45%
11/19/2018,"14,590.00","14,520.00","14,625.00","14,520.00",,-0.15%
11/20/2018,"14,590.00","14,590.00","14,590.00","14,590.00",,0.00%
11/21/2018,"14,605.00","14,615.00","14,645.00","14,565.00",,0.10%
11/22/2018,"14,577.50","14,597.50","14,607.50","14,567.50",,-0.19%
11/23/2018,"14,540.00","14,555.00","14,562.00","14,505.00",,-0.26%
11/26/2018,"14,475.00","14,540.00","14,565.00","14,455.00",,-0.45%
11/27/2018,"14,513.50","14,488.50","14,518.50","14,478.50",,0.27%
11/28/2018,"14,527.50","14,513.50","14,542.50","14,509.50",,0.10%
11/29/2018,"14,382.50","14,462.50","14,462.50","14,332.50",,-1.00%
11/30/2018,"14,302.50","14,302.50","14,352.50","14,252.50",,-0.56%
12/3/2018,"14,240.00","14,255.00","14,270.00","14,210.00",,-0.44%
12/4/2018,"14,290.00","14,305.00","14,325.00","14,265.00",,0.35%
12/5/2018,"14,395.00","14,355.00","14,430.00","14,354.00",,0.73%
12/6/2018,"14,520.00","14,435.00","14,570.00","14,435.00",,0.87%
12/7/2018,"14,470.00","14,495.00","14,536.00","14,455.00",,-0.34%
12/10/2018,"14,555.00","14,475.00","14,555.00","14,475.00",,0.59%
12/11/2018,"14,600.00","14,585.00","14,655.00","14,585.00",,0.31%
12/12/2018,"14,597.50","14,562.50","14,602.50","14,552.50",,-0.02%
12/13/2018,"14,497.50","14,527.50","14,557.50","14,479.50",,-0.69%
12/14/2018,"14,585.00","14,505.00","14,585.00","14,505.00",,0.60%
12/17/2018,"14,575.00","14,585.00","14,630.00","14,574.00",,-0.07%
12/18/2018,"14,500.00","14,555.00","14,560.00","14,480.00",,-0.51%
12/19/2018,"14,442.50","14,437.50","14,442.50","14,337.50",,-0.40%
12/20/2018,"14,470.00","14,465.00","14,520.00","14,455.00",,0.19%
12/21/2018,"14,555.00","14,480.00","14,560.00","14,454.00",,0.59%
12/24/2018,"14,555.00","14,555.00","14,555.00","14,555.00",,0.00%
12/25/2018,"14,555.00","14,555.00","14,555.00","14,555.00",,0.00%
12/26/2018,"14,575.00","14,580.00","14,610.00","14,565.00",,0.14%
12/27/2018,"14,560.00","14,555.00","14,595.00","14,555.00",,-0.10%
12/28/2018,"14,560.00","14,560.00","14,575.00","14,535.00",,0.00%
12/31/2018,"14,380.00","14,485.00","14,496.00","14,380.00",,-1.24%
1/1/2019,"14,380.00","14,380.00","14,380.00","14,380.00",,0.00%
1/2/2019,"14,450.00","14,425.00","14,485.00","14,425.00",0.09K,0.49%
1/3/2019,"14,410.00","14,445.00","14,490.00","14,410.00",0.08K,-0.28%
1/4/2019,"14,270.00","14,380.00","14,380.00","14,255.00",0.12K,-0.97%
1/7/2019,"14,090.00","14,190.00","14,190.00","13,995.00",0.22K,-1.26%
1/8/2019,"14,145.00","14,050.00","14,162.00","13,995.00",0.19K,0.39%
1/9/2019,"14,125.00","14,105.00","14,180.00","14,085.00",0.24K,-0.14%
1/10/2019,"14,055.00","14,055.00","14,110.00","14,005.00",0.19K,-0.50%
1/11/2019,"14,045.00","14,065.00","14,095.00","14,015.00",0.04K,-0.07%
1/14/2019,"14,124.00","14,034.00","14,144.00","14,034.00",0.05K,0.56%
1/15/2019,"14,092.50","14,087.50","14,107.50","14,062.50",0.06K,-0.22%
1/16/2019,"14,122.50","14,112.50","14,162.50","14,107.50",0.07K,0.21%
1/17/2019,"14,180.00","14,120.00","14,200.00","14,120.00",0.10K,0.41%
1/18/2019,"14,175.00","14,185.00","14,200.00","14,155.00",0.14K,-0.04%
1/21/2019,"14,222.50","14,182.50","14,232.50","14,182.50",0.09K,0.34%
1/22/2019,"14,215.00","14,210.00","14,230.00","14,185.00",0.11K,-0.05%
1/23/2019,"14,180.00","14,195.00","14,200.00","14,165.00",0.14K,-0.25%
1/24/2019,"14,165.00","14,135.00","14,175.00","14,120.00",0.07K,-0.11%
1/25/2019,"14,085.00","14,155.00","14,170.00","14,084.00",0.15K,-0.56%
1/28/2019,"14,070.00","14,065.00","14,075.00","14,025.00",0.09K,-0.11%
1/29/2019,"14,095.00","14,070.00","14,097.00","14,070.00",0.06K,0.18%
1/30/2019,"14,130.00","14,097.00","14,132.00","14,085.00",0.06K,0.25%
1/31/2019,"13,972.50","14,132.50","14,132.50","13,957.50",0.15K,-1.11%
2/1/2019,"13,940.00","13,945.00","13,985.00","13,940.00",0.16K,-0.23%
2/4/2019,"13,955.00","13,950.00","13,995.00","13,940.00",0.10K,0.11%
2/5/2019,"13,955.00","13,955.00","13,955.00","13,955.00",,0.00%
2/6/2019,"13,922.00","13,950.00","13,950.00","13,890.00",0.15K,-0.24%
2/7/2019,"13,972.50","13,927.50","13,987.50","13,927.50",0.07K,0.36%
2/8/2019,"13,965.00","13,975.00","14,000.00","13,948.00",0.16K,-0.05%
2/11/2019,"14,040.00","13,985.00","14,050.00","13,985.00",0.11K,0.54%
2/12/2019,"14,068.50","14,083.50","14,098.50","14,033.50",0.12K,0.20%
2/13/2019,"14,057.50","14,027.50","14,057.50","14,007.50",0.15K,-0.08%
2/14/2019,"14,090.00","14,065.00","14,100.00","14,065.00",0.10K,0.23%
2/15/2019,"14,142.50","14,092.50","14,157.50","14,092.50",0.06K,0.37%
2/18/2019,"14,106.50","14,101.50","14,116.50","14,076.50",0.06K,-0.25%
2/19/2019,"14,102.00","14,105.00","14,130.00","14,102.00",0.15K,-0.03%
2/20/2019,"14,040.00","14,080.00","14,080.00","14,040.00",0.17K,-0.44%
2/21/2019,"14,063.00","14,040.00","14,075.00","14,040.00",0.14K,0.16%
2/22/2019,"14,057.50","14,067.50","14,082.50","14,049.50",0.13K,-0.04%
2/25/2019,"14,017.50","13,987.50","14,022.50","13,987.50",0.15K,-0.28%
2/26/2019,"13,991.00","13,963.00","14,003.00","13,963.00",0.15K,-0.19%
2/27/2019,"14,030.00","13,985.00","14,045.00","13,980.00",0.19K,0.28%
2/28/2019,"14,065.00","14,030.00","14,083.00","14,030.00",0.14K,0.25%
3/1/2019,"14,115.00","14,102.00","14,135.00","14,102.00",0.10K,0.36%
3/4/2019,"14,130.00","14,120.00","14,155.00","14,115.00",0.10K,0.11%
3/5/2019,"14,120.00","14,125.00","14,155.00","14,120.00",0.12K,-0.07%
3/6/2019,"14,140.00","14,125.00","14,155.00","14,120.00",0.09K,0.14%
3/7/2019,"14,140.00","14,140.00","14,140.00","14,140.00",,0.00%
3/8/2019,"14,310.00","14,200.00","14,340.00","14,200.00",0.10K,1.20%
3/11/2019,"14,290.00","14,310.00","14,338.00","14,275.00",0.16K,-0.14%
3/12/2019,"14,265.00","14,245.00","14,280.00","14,235.00",0.09K,-0.17%
3/13/2019,"14,265.00","14,245.00","14,286.00","14,245.00",0.05K,0.00%
3/14/2019,"14,267.00","14,235.00","14,284.00","14,235.00",0.10K,0.01%
3/15/2019,"14,259.00","14,284.00","14,314.00","14,259.00",0.12K,-0.06%
3/18/2019,"14,237.50","14,232.50","14,247.50","14,212.50",0.11K,-0.15%
3/19/2019,"14,230.00","14,215.00","14,240.00","14,215.00",0.16K,-0.05%
3/20/2019,"14,185.00","14,215.00","14,235.00","14,180.00",0.14K,-0.32%
3/21/2019,"14,140.00","14,105.00","14,145.00","14,084.00",0.11K,-0.32%
3/22/2019,"14,165.00","14,135.00","14,170.00","14,135.00",0.10K,0.18%
3/25/2019,"14,180.00","14,195.00","14,230.00","14,179.00",0.11K,0.11%
3/26/2019,"14,170.00","14,195.00","14,195.00","14,155.00",0.13K,-0.07%
3/27/2019,"14,195.00","14,175.00","14,225.00","14,175.00",0.10K,0.18%
3/28/2019,"14,242.00","14,220.00","14,260.00","14,215.00",0.07K,0.33%
3/29/2019,"14,240.00","14,245.00","14,250.00","14,220.00",0.11K,-0.01%
4/1/2019,"14,225.00","14,225.00","14,246.00","14,220.00",0.07K,-0.11%
4/2/2019,"14,220.00","14,220.00","14,245.00","14,219.00",0.12K,-0.04%
4/3/2019,"14,220.00","14,220.00","14,220.00","14,220.00",,0.00%
4/4/2019,"14,180.00","14,190.00","14,195.00","14,175.00",0.10K,-0.28%
4/5/2019,"14,125.00","14,180.00","14,180.00","14,125.00",0.12K,-0.39%
4/8/2019,"14,163.00","14,133.00","14,173.00","14,133.00",0.11K,0.27%
4/9/2019,"14,133.00","14,148.00","14,153.00","14,129.00",0.11K,-0.21%
4/10/2019,"14,150.00","14,145.00","14,170.00","14,145.00",0.12K,0.12%
4/11/2019,"14,135.00","14,150.00","14,165.00","14,135.00",0.15K,-0.11%
4/12/2019,"14,092.50","14,142.50","14,152.50","14,092.50",0.07K,-0.30%
4/15/2019,"14,060.00","14,085.00","14,085.00","14,060.00",0.06K,-0.23%
4/16/2019,"14,085.00","14,060.00","14,085.00","14,060.00",0.04K,0.18%
4/17/2019,"14,085.00","14,085.00","14,085.00","14,085.00",,0.00%
4/18/2019,"14,042.50","14,002.50","14,047.50","13,992.50",0.05K,-0.30%
4/19/2019,"14,042.50","14,042.50","14,042.50","14,042.50",,0.00%
4/22/2019,"14,075.00","14,045.00","14,097.00","14,045.00",0.09K,0.23%
4/23/2019,"14,075.00","14,065.00","14,090.00","14,065.00",0.12K,0.00%
4/24/2019,"14,095.00","14,090.00","14,130.00","14,090.00",0.09K,0.14%
4/25/2019,"14,185.00","14,095.00","14,190.00","14,095.00",0.08K,0.64%
4/26/2019,"14,187.50","14,192.50","14,202.50","14,172.50",0.09K,0.02%
4/29/2019,"14,200.00","14,190.00","14,217.00","14,180.00",0.07K,0.09%
4/30/2019,"14,250.00","14,195.00","14,265.00","14,195.00",0.11K,0.35%
5/1/2019,"14,250.00","14,250.00","14,250.00","14,250.00",,0.00%
5/2/2019,"14,250.00","14,205.00","14,270.00","14,205.00",0.07K,0.00%
5/3/2019,"14,255.00","14,255.00","14,287.00","14,255.00",0.09K,0.04%
5/6/2019,"14,292.50","14,272.50","14,332.50","14,272.50",0.07K,0.26%
5/7/2019,"14,280.00","14,290.00","14,320.00","14,265.00",0.14K,-0.09%
5/8/2019,"14,295.00","14,290.00","14,315.00","14,290.00",0.13K,0.11%
5/9/2019,"14,350.00","14,300.00","14,375.00","14,300.00",0.09K,0.38%
5/10/2019,"14,325.00","14,325.00","14,370.00","14,325.00",0.10K,-0.17%
5/13/2019,"14,415.00","14,335.00","14,442.00","14,335.00",0.08K,0.63%
5/14/2019,"14,430.00","14,420.00","14,460.00","14,420.00",0.06K,0.10%
5/15/2019,"14,460.00","14,445.00","14,465.00","14,440.00",0.09K,0.21%
5/16/2019,"14,450.00","14,455.00","14,475.00","14,440.00",0.11K,-0.07%
5/17/2019,"14,450.00","14,460.00","14,475.00","14,445.00",0.08K,0.00%
5/20/2019,"14,455.00","14,450.00","14,460.00","14,450.00",0.01K,0.03%
5/21/2019,"14,480.00","14,455.00","14,480.00","14,455.00",0.03K,0.17%
5/22/2019,"14,525.00","14,470.00","14,530.00","14,470.00",0.05K,0.31%
5/23/2019,"14,460.00","14,510.00","14,525.00","14,455.00",0.12K,-0.45%
5/24/2019,"14,392.50","14,442.50","14,472.50","14,392.50",0.15K,-0.47%
5/27/2019,"14,380.00","14,355.00","14,390.00","14,345.00",0.05K,-0.09%
5/28/2019,"14,375.00","14,365.00","14,390.00","14,365.00",0.06K,-0.03%
5/29/2019,"14,400.00","14,385.00","14,435.00","14,385.00",0.04K,0.17%
5/30/2019,"14,400.00","14,400.00","14,400.00","14,400.00",,0.00%
5/31/2019,"14,275.00","14,380.00","14,385.00","14,255.00",0.06K,-0.87%
6/3/2019,"14,275.00","14,275.00","14,275.00","14,275.00",,0.00%
6/4/2019,"14,275.00","14,275.00","14,275.00","14,275.00",,0.00%
6/5/2019,"14,275.00","14,275.00","14,275.00","14,275.00",,0.00%
6/6/2019,"14,275.00","14,275.00","14,275.00","14,275.00",,0.00%
6/7/2019,"14,275.00","14,275.00","14,275.00","14,275.00",,0.00%
6/10/2019,"14,250.00","14,205.00","14,260.00","14,205.00",0.03K,-0.18%
6/11/2019,"14,237.50","14,242.50","14,260.50","14,232.50",0.05K,-0.09%
6/12/2019,"14,235.00","14,225.00","14,265.00","14,220.00",0.09K,-0.02%
6/13/2019,"14,280.00","14,235.00","14,280.00","14,235.00",0.02K,0.32%
6/14/2019,"14,325.00","14,275.00","14,330.00","14,275.00",0.04K,0.32%
6/17/2019,"14,335.00","14,330.00","14,355.00","14,330.00",0.07K,0.07%
6/18/2019,"14,322.50","14,332.50","14,342.50","14,317.50",0.11K,-0.09%
6/19/2019,"14,269.50","14,264.50","14,279.50","14,259.50",0.07K,-0.37%
6/20/2019,"14,182.50","14,242.50","14,252.50","14,172.50",0.19K,-0.61%
6/21/2019,"14,155.00","14,125.00","14,170.00","14,080.00",0.09K,-0.19%
6/24/2019,"14,140.00","14,135.00","14,175.00","14,135.00",0.04K,-0.11%
6/25/2019,"14,125.00","14,140.00","14,145.00","14,095.00",0.11K,-0.11%
